"","phase","id","mean.duration","sd.duration","max.duration","mean.revisitation","sd.revisitation","max.revisitation"
"1","roam","1J (Santiago #3)",28.7364241723295,26.1230548827345,155.045454545455,18.1571571571572,11.0051147849164,38
"2","roam","4J (Santiago #1)",122.792032506079,95.2052608627746,618,3.28553770086527,3.86867349907571,35
"3","settled","2M (Bagley)",52.8406592927797,26.217257430857,161.714285714286,18.8639326453015,7.93786708362857,47
"4","settled","9M (Inman adult)",719.627035362545,1163.5485518085,7413,14.633740161971,11.0395909787401,51
"5","settled","8M (Stockyard adult)",70.2016418848705,67.7025725156265,605.666666666667,13.4227588488257,3.82248884584013,25
"6","settled","8K (Deglman #2)",39.9653591861337,22.1651446152073,112,9.26785086176574,5.187107065366,22
"7","settled","1J (Santiago #3)",56.7066050986838,31.5677147454339,183.5,15.4411587205794,7.61230523105454,36
"8","settled","0K Deglman #1",31.417614228332,18.1043069518831,169.357142857143,29.4803392444102,9.32938369640764,46
"9","settled","9K (Santiago #2)",225.073958361616,188.199701010595,1031,13.2534880849488,7.33483308329448,42
"10","settled","4K (Waubun #1)",133.245944786543,78.3041988579,378.916666666667,17.4625383643257,5.38793002405671,37
"11","settled","4J (Santiago #1)",52.5472751220459,40.1340498582298,228.375,14.1704089219331,6.86912056072186,37
"12","settled","5K (Helliksen July adult 2015)",75.7351472941959,47.7895396430067,247.315789473684,25.6437200066192,5.10398214724472,45
"13","settled","4M (Ogema adult)",67.9136413815826,44.2691914864487,418,16.5022965042103,5.65222212835361,37
