"","phase","id","mean.duration","sd.duration","max.duration","mean.revisitation","sd.revisitation","max.revisitation"
"1","roam","5C (Stockyard colt)",23.6518192488263,16.0408037448966,78,1.75704225352113,1.20399205750429,14
"2","roam","7J (Melby colt #1)",97.003383921948,89.9202809556316,363.5,3.59147143985259,2.30803047069867,12
"3","roam","6A (Pelican Rapids colt)",41.9872625224326,30.6984085162596,129.652173913043,11.522633744856,11.6562413446457,41
"4","settled","5C (Stockyard colt)",118.250497951821,90.4302035862009,880.666666666667,8.59589626674266,4.38434194588934,21
"5","settled","7E (Nora Township colt)",42.6089395108279,44.71170129064,741.714285714286,19.0747987616099,6.9325711445153,44
"6","settled","0M (N of Mud Lake)",2868.79477634806,657.972675127701,3569,1.21219382321619,1.63906061912153,24
"7","settled","5A (W Staples colt #1)",243.244457767984,479.200127012619,6370,18.3025466893039,8.81283700472988,47
"8","settled","7J (Melby colt #1)",147.866356131479,86.6490169483845,858,4.65215096331486,2.65130991960018,13
"9","settled","6A (Pelican Rapids colt)",61.4987673321243,32.9411679489329,167.8,18.3210992587236,5.16010793228063,37
