"","phase","id","mean.duration","sd.duration","max.duration","mean.revisitation","sd.revisitation","max.revisitation"
"1","roam","0C (Callaway colt 2014)",43.8937801509493,25.1744137785071,127.388888888889,1.67647058823529,1.45803811175505,21
"2","roam","0M (N of Mud Lake)",53.7555442176871,36.0977867527015,173,1.63469387755102,0.732792439826712,5
"3","roam","7E (Nora Township colt)",38.1018957345972,28.0552415494799,79,1.21327014218009,0.549470929955507,3
"4","roam","7J (Melby colt #1)",113.213916460159,119.48630296852,782,3.40490797546012,3.38268480942821,15
"5","roam","4A (Dower colt)",55.8695697399207,51.8874851197783,1106.4,2.07943349753695,1.38577249984604,13
"6","roam","6A (Pelican Rapids colt)",49.3025491895476,49.8648940469207,412.285714285714,6.94617563739377,8.06366046212998,33
"7","roam","5A (W Staples colt #1)",22.3001906724228,8.44771508814563,48,2.30714285714286,2.18465298236443,14
"8","roam","1K (Melby colt #2)",13.7353381642512,9.59291785282425,71.8888888888889,3.19130434782609,3.73906746084305,19
"9","roam","5C (Stockyard colt)",73.0988663780664,98.2207853998991,745,2.801,2.60272418307688,12
"10","roam","6M (Larson colt #2)",74.4994630115043,51.0597380800405,155,2.13302752293578,2.22174237457058,9
"11","roam","7K (Larson colt #1)",57.6571542982967,39.4739310385976,145,4.09903121636168,4.05496836695412,17
"12","settled","0C (Callaway colt 2014)",125.782507464991,117.370159744049,965,9.71839195979899,3.8798414800957,23
"13","settled","0M (N of Mud Lake)",292.862458076012,328.849543802839,976.5,9.4753990455817,6.82526157368822,25
"14","settled","7E (Nora Township colt)",78.7684097343682,98.2540417113561,1474.66666666667,18.4289462781384,7.24923022070836,35
"15","settled","7J (Melby colt #1)",174.236610160333,162.240323905926,793,4.84798328780331,2.87308395449156,13
"16","settled","4A (Dower colt)",124.793610764676,109.061644693274,994.25,11.0500075999392,5.9741836852681,25
"17","settled","2A (Helliksen July 2015 colt)",130.225515306574,383.574953449472,5089,16.2372402890696,8.55876526180177,45
"18","settled","6A (Pelican Rapids colt)",90.7150862693926,53.6357787806793,221.272727272727,15.1659681475272,3.92501162031944,30
"19","settled","5A (W Staples colt #1)",39.297913385936,37.3437097148696,240.5,15.6744897959184,7.98599758407371,37
"20","settled","1K (Melby colt #2)",87.3684790166641,81.9578405041566,346.666666666667,10.986422481844,5.14159631699128,22
"21","settled","6C (Rice Lake colt 2014)",52.2383844394023,29.9345951717602,154,8.00517063081696,3.63508378606676,20
"22","settled","5C (Stockyard colt)",216.111955209129,143.490980704357,856,3.17638315441784,1.63155732905253,17
"23","settled","6M (Larson colt #2)",160.009326451202,156.61795811748,725,3.87480403135498,2.06844223574168,11
"24","settled","7K (Larson colt #1)",105.09831585203,102.738941067324,449,4.90183055240564,2.95610875235139,18
