"","age","phase","mean.dur","min.dur","max.dur","mean.rev","min.rev","max.rev"
"1","adult","roam",90.1533343836887,28.7364241723295,151.554214015152,7.58559749499342,1.1875,18.1571571571572
"2","adult","settled",113.603706192955,25.7223017535497,719.627035362545,18.8744460497033,9.26785086176574,29.4803392444102
"3","colt","roam",54.1479095507578,13.7353381642512,113.213916460159,3.45411465006095,1.21327014218009,11.522633744856
"4","colt","settled",271.566966693316,39.297913385936,2868.79477634806,10.6158801588172,1.21219382321619,19.0747987616099
