"","age","mode","mean(dist2centroid)","mean(day)","mean(n_days)","mean(max)","mean(sd)","mean(mean.km)"
"1","adult","roam",4171.40686293405,220.980882352941,10.8571428571429,14173.1989053262,1965.23905746822,10.0555450957845
"2","adult","settled",707.235761094744,168.884809760224,127.285714285714,4659.99180733723,498.811714745294,0.715021413862549
"3","colt","roam",67395.2793441884,125.37562149158,17.4285714285714,225111.232174885,38835.3145165347,63.4422274408212
"4","colt","settled",12864.8746984762,180.560020034504,115.857142857143,64656.2148100971,10468.0203062601,14.9134217398845
