"","id","set_roam","n_days","n_obs","max","sd","mean","median","IQR"
"1","0M (N of Mud Lake)","settled","66","3756","379.415148832777","36.9323898621424","14.4293575410565","7.17431184201974","2.5733233418214"
"2","5A (W Staples colt #1)","settled","154","8835","4511.61747575659","563.747235030521","711.679577143948","504.592760502823","539.358668635915"
"3","5C (Stockyard colt)","settled","126","7018","51238.9751873335","3315.08055976847","32265.4117860654","32292.5399354916","2684.11838134869"
"4","5C (Stockyard colt)","roam","7","284","170755.233028619","27009.5369449009","61395.6318966873","57855.9944476504","41573.5933482717"
"5","(Pelican Rapids colt)","settled","112","5531","5121.70601999658","1133.70216066981","1508.64851246526","1360.03279755846","2378.94179209102"
"6","(Pelican Rapids colt)","roam","15","729","12845.9192160082","4583.41942610166","6291.50209440309","6477.32026574686","9388.17179781331"
"7","7E (Nora Township colt)","settled","145","8075","9628.24839077384","1172.76264770447","2600.78537546992","2286.70480415388","1320.14561039806"
"8","7J (Melby colt #1)","settled","62","3789","64071.1593525912","4288.59711284651","53512.290240174","53896.0703594891","2472.81790101783"
"9","7J (Melby colt #1)","roam","63","3799","154636.862175646","40157.7293855654","87089.2950055793","72120.9943662426","76232.3394343002"
