"","phase","id","mean.duration","sd.duration","max.duration","mean.revisitation","sd.revisitation","max.revisitation"
"1","roam","4J (Santiago #1)",151.554214015152,69.5553070152186,253,1.1875,1.26253506013413,11
"2","roam","4K (Waubun #1)",57.5306668411944,77.9022499612941,578.285714285714,7.71219512195122,9.42306814657912,43
"3","settled","8K (Deglman #2)",38.6321225475556,33.3203824765285,184.5,14.8336970755129,8.43552633804015,32
"4","settled","4M (Ogema adult)",64.8901473785535,51.5257032984494,286.8,22.0441969519343,9.70492268988235,48
"5","settled","5K (Helliksen July adult 2015)",85.8735702495491,79.0490271223386,542.2,25.8621922160445,9.12756979694528,48
"6","settled","9K (Santiago #2)",108.812545489642,192.807094028621,3176.5,23.6595238095238,7.59324492608975,48
"7","settled","0J (Waubun adult #2)",136.80643159385,112.266128901244,526.333333333333,24.250427837992,8.98521145662907,47
"8","settled","4E Larson adult #1",71.4610564789241,69.7678571976339,644.25,25.7447188336805,7.2314175251118,44
"9","settled","8M (Stockyard adult)",25.7223017535497,14.4776314257487,84.6,18.5524475524476,4.21654753145608,29
"10","settled","9M (Inman adult)",262.543484253625,356.954444263988,2865,16.7072556649119,9.55230631968253,48
"11","settled","0K Deglman #1",37.4872962508606,21.9984151502038,150,23.6458333333333,8.86032074916371,37
"12","settled","3K (Rasmussen adult)",38.9673854336312,29.8756117771692,210.363636363636,19.9407957813998,6.81157814850372,33
"13","settled","2M (Bagley)",84.7717788508748,84.3498558715279,1087,19.1086614173228,7.54739342573099,45
"14","settled","5J (Deglman #3)",136.918716636821,105.053264688172,662.666666666667,20.241724137931,6.37102401645245,39
"15","settled","4J (Santiago #1)",55.773486871148,61.8160795201397,443,11.3026455026455,5.51947024672336,26
"16","settled","4K (Waubun #1)",274.299029241603,174.870980958981,775,13.7982625482625,6.03261784119833,46
"17","settled","1J (Santiago #3)",71.4622269750021,42.9748457809897,235.6,18.3615152706777,6.38624124193934,46
"18","settled","6E (Linden-Kologi)",47.6036052052769,37.204099417206,352.75,23.4139130434783,6.30130448888375,41
